id;full_name;mobile_no;license_category;national_id;passport_key;transaction_type;exported
1;mobile Fish;Home Loan Account Table Computer;5808;FTP Savings Account;deposit Tasty Metal Bacon Implementation;77;false
2;Soap methodology Albania;Home Namibia;39986;Gorgeous Frozen Pants;Common;78517;true
3;syndicate;Mississippi Refined Rubber Chicken Table;6505;Factors;South Dakota envisioneer Music;23089;true
4;infomediaries;Investment Account;83319;Salad;Digitized invoice;31171;false
5;sky blue Georgia;Facilitator;77513;Markets Chief;capacitor archive;57044;false
6;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;58675;Specialist Home Loan Account;Plastic;80219;false
7;Industrial;index orange;552;overriding;monitor 1080p Checking Account;92630;false
8;Frozen IB;Highway Ergonomic;37081;Lempira;pixel withdrawal;88721;true
9;embrace Developer;synthesize Idaho compress;49379;Poland;Small partnerships;20171;false
10;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306;Brand;neutral Salad;92969;true
